type_label_long,type_label_short,priority
Sportswear - Other,Sports pants,3
Sportswear - Other,Pants,4
Sportswear - Other,Underwear (full body),5
Sportswear - Other,Swimwear,6
Joggers,Sports pants,1
Joggers,Leggings,2
Joggers,Tracksuit,3
Joggers,Pants,4
Joggers,Underwear (full body),5
Leggings,Leggings,1
Leggings,Tracksuit,2
Leggings,Tights and stockings,3
Leggings,Sports pants,4
Leggings,Underwear (full body),5
Leggings,Underwear (bottom),6
Sportswear shorts,Tracksuit,1
Sportswear shorts,Sports pants,2
Sportswear shorts,Leggings,3
Sportswear shorts,Shorts,4
Sportswear shorts,Pants,5
Sportswear shorts,Swimwear,6
Sportswear shorts,Underwear (full body),7
Chino,Pants,1
Chino,Classic pants,2
Chino,Jeans,3
Croped pants,Pants,1
Croped pants,Sports pants,2
Croped pants,Leggings,3
Jeans,Jeans,1
Jeans,Pants,2
Jeans,Classic pants,3
Tailored pants,Classic pants,1
Tailored pants,Suit,2
Tailored pants,Jeans,3
Tailored pants,Pants,4
Jeans & Pants - Other,Jeans,1
Jeans & Pants - Other,Pants,2
Jeans & Pants - Other,Classic pants,3
Regular shorts,Shorts,1
Regular shorts,Swimwear,2
High-waisted shorts,Shorts,1
High-waisted shorts,Swimwear,2
Low-waisted shorts,Shorts,1
Low-waisted shorts,Swimwear,2
Mini shorts,Shorts,1
Mini shorts,Swimwear,2
Mini skirt,Skirt,1
Mini skirt,Dress,2
Mini skirt,Tunic,3
Mini skirt,Nightgowns,4
Midi skirt,Skirt,1
Midi skirt,Dress,2
Midi skirt,Tunic,3
Midi skirt,Nightgowns,4
Maxi skirt,Skirt,1
Maxi skirt,Dress,2
Maxi skirt,Tunic,3
Maxi skirt,Nightgowns,4
Skater skirt,Skirt,1
Skater skirt,Dress,2
Skater skirt,Tunic,3
Skater skirt,Nightgowns,4
A-line skirt,Skirt,1
A-line skirt,Dress,2
A-line skirt,Tunic,3
A-line skirt,Nightgowns,4
High-waisted skirt,Skirt,1
High-waisted skirt,Dress,2
High-waisted skirt,Tunic,3
High-waisted skirt,Nightgowns,4
Skirt - Other,Skirt,1
Skirt - Other,Dress,2
Skirt - Other,Tunic,3
Skirt - Other,Nightgowns,4
Pyjama - Lace shorts,Pyjama,1
Pyjama - Lace shorts,Tights and stockings,2
Pyjama - Lace shorts,Nightgowns,3
Pyjama - Lace shorts,Shorts,4
Pyjama - Lace shorts,Underwear (bottom),5
Pyjama - Nightwear,Nightgowns,1
Pyjama - Nightwear,Pyjama,2
Pyjama - Nightwear,Tights and stockings,3
Pyjama - Nightwear,Underwear (bottom),4
Pyjama - Pants,Sports pants,1
Pyjama - Pants,Pyjama,2
Pyjama - Pants,Leggings,3
Pyjama - Pants,Nightgowns,4
Pyjama - Pants,Pants,5
Pyjama - Pants,Underwear (bottom),6
Pyjama - Shorts,Pyjama,1
Pyjama - Shorts,Shorts,2
Pyjama - Shorts,Nightgowns,3
Pyjama - Shorts,Underwear (bottom),4
Underwear - Boxer (fit),Underwear (bottom),1
Underwear - Boxer (fit),Underwear (full body),2
Underwear - Boxer (fit),Bodies,3
Underwear - Panties,Bodies,1
Underwear - Panties,Underwear (bottom),2
Underwear - Panties,Underwear (full body),3
Underwear - Shapewear,Bodies,1
Underwear - Shapewear,Nightgowns,2
Underwear - Shapewear,Underwear (bottom),3
Underwear - Shapewear,Underwear (full body),4
Underwear - Underpants (large),Underwear (bottom),1
Underwear - Underpants (large),Bodies,2
Underwear - Underpants (large),Underwear (full body),3
Socks,Socks,1
Socks,Shoes,2
Stockings,Tights and stockings,1
Tights,Tights and stockings,1
Bottom - Other,Tracksuit,1
Bottom - Other,Underwear (bottom),2
Formal dress,Dress,1
Formal dress,Tunic,2
Formal dress,Skirt,3
Formal dress,Nightgowns,4
Long dress,Dress,1
Long dress,Tunic,2
Long dress,Skirt,3
Long dress,Nightgowns,4
Mini-dress,Dress,1
Mini-dress,Tunic,2
Mini-dress,Skirt,3
Mini-dress,Nightgowns,4
Midi-dress,Dress,1
Midi-dress,Tunic,2
Midi-dress,Skirt,3
Midi-dress,Nightgowns,4
Tunic,Tunic,1
Tunic,Bathrobes,2
Dress - Other,Dress,1
Dress - Other,Tunic,2
Dress - Other,Skirt,3
Dress - Other,Nightgowns,4
Jumpsuit,Overall,1
Jumpsuit,Jeans,2
Jumpsuit,Pants,3
Playsuits,Overall,1
Playsuits,Jeans,2
Playsuits,Pants,3
Full Body - Pyjama,Nightgowns,1
Full Body - Pyjama,Pyjama,2
Full Body - Pyjama,Underwear (bottom),3
Full Body - Bathrobes,Bathrobes,1
Full Body - Bathrobes,Overall,2
Full Body - Bathrobes,Swimwear,3
Full Body - Bathrobes,Nightgowns,4
Full Body - Bathrobes,Underwear (bottom),5
Suit,Suit,1
Suit,Blazer,2
Suit,Bathrobes,3
Tuxedo,Suit,1
Tuxedo,Bathrobes,2
Full Body - Other,Bathrobes,1
Full Body - Other,Overall,2
Full Body - Other,Dress,3
Bikini,Swimwear,1
Bikini,Swimsuit top,2
Cover-ups & Sarongs,Tunic,1
Cover-ups & Sarongs,Swimwear,2
Cover-ups & Sarongs,Bathrobes,3
Swimwear - One-piece,Swimwear,1
Swimwear - One-piece,Wetsuit,2
Swimwear - One-piece,Swimsuit top,3
Swimwear - One-piece,Bathrobes,4
Underwear - Full body,Underwear (full body),1
Underwear - Full body,Nightgowns,2
Underwear - Full body,Bodies,3
Underwear - Full body,Underwear (bottom),4
Ankle boots,Shoes,1
Ankle boots,Knee-highs,2
Chelsea & slip-on boots,Shoes,1
Chelsea & slip-on boots,Knee-highs,2
